"platform","trial","cover_name","payload_size_bytes","cover_width","cover_height","delivered_width","delivered_height","success","ber","failure_reason","timestamp"
"discord","11","corsair_collection/dotted.fabeb454b273c6d2398a.jpg","100","","","","","True","0.00000000","","2026-08-22T23:39:03.457131+00:00"
"discord","12","corsair_collection/dotted.fabeb454b273c6d2398a.jpg","21569","","","","","True","0.00000000","","2026-08-22T23:39:09.704102+00:00"
"discord","13","deep_space/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:39:23.404337+00:00"
"discord","14","deep_space/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:39:28.715639+00:00"
"discord","15","deep_space/preview.jpg","2977","","","","","True","0.00000000","","2026-08-22T23:39:33.861243+00:00"
"discord","16","demon_core/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:39:39.873935+00:00"
"discord","17","demon_core/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:39:44.696634+00:00"
"discord","18","demon_core/preview.jpg","2273","","","","","True","0.00000000","","2026-08-22T23:39:49.571299+00:00"
"discord","19","dna_fragment/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:39:54.757910+00:00"
"discord","20","dna_fragment/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:40:02.050572+00:00"
"discord","21","dna_fragment/preview.jpg","2977","","","","","True","0.00000000","","2026-08-22T23:40:09.303135+00:00"
"discord","22","eagleflag/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:40:17.413229+00:00"
"discord","23","eagleflag/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:40:22.662894+00:00"
"discord","24","eagleflag/preview.jpg","2977","","","","","True","0.00000000","","2026-08-22T23:40:37.631974+00:00"
"discord","25","fantasticcar/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:40:43.939606+00:00"
"discord","26","fantasticcar/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:40:50.379098+00:00"
"discord","27","fantasticcar/preview.jpg","2593","","","","","True","0.00000000","","2026-08-22T23:40:57.293560+00:00"
"discord","28","neon_sunset/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:41:04.355575+00:00"
"discord","29","neon_sunset/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:41:10.636679+00:00"
"discord","30","neon_sunset/preview.jpg","3425","","","","","True","0.00000000","","2026-08-22T23:41:17.854937+00:00"
"discord","31","retro/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:41:24.573224+00:00"
"discord","32","retro/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:41:30.729068+00:00"
"discord","33","retro/preview.jpg","2241","","","","","True","0.00000000","","2026-08-22T23:41:36.354132+00:00"
"discord","34","ricepod/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:41:43.053427+00:00"
"discord","35","ricepod/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:41:47.233685+00:00"
"discord","36","ricepod/preview.jpg","641","","","","","True","0.00000000","","2026-08-22T23:41:51.436517+00:00"
"discord","37","sheep/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:41:55.941572+00:00"
"discord","38","sheep/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:42:00.019415+00:00"
"discord","39","sheep/preview.jpg","641","","","","","True","0.00000000","","2026-08-22T23:42:07.679838+00:00"
"discord","40","shimmering_particles/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:42:12.054579+00:00"
"discord","41","shimmering_particles/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:42:17.718751+00:00"
"discord","42","shimmering_particles/preview.jpg","2529","","","","","True","0.00000000","","2026-08-22T23:42:23.083113+00:00"
"discord","43","techno/preview.jpg","10","","","","","True","0.00000000","","2026-08-22T23:42:30.663999+00:00"
"discord","44","techno/preview.jpg","100","","","","","True","0.00000000","","2026-08-22T23:42:34.798768+00:00"
"discord","45","techno/preview.jpg","641","","","","","True","0.00000000","","2026-08-22T23:42:39.361714+00:00"
"twitter","1","twitter/HRymGska4AAc_Xn.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:15:22.145283+00:00"
"twitter","2","twitter/HRymELHaYAAAiqj.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:15:30.620813+00:00"
"twitter","3","twitter/HRymB1FaAAENk0q.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:15:37.391549+00:00"
"twitter","4","twitter/HRyl-QxbEAAuHpQ.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:15:59.637688+00:00"
"twitter","5","twitter/HRyl6IqbEAE6jBj.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:03.434307+00:00"
"twitter","6","twitter/HRyl1qZbkAA7pcX.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:07.635955+00:00"
"twitter","7","twitter/HRylxBCb0AANl_F.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:11.772070+00:00"
"twitter","8","twitter/HRylunLa8AA611-.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:16.890880+00:00"
"twitter","9","twitter/HRylsAYasAEcpNc.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:21.734315+00:00"
"twitter","10","twitter/HRylisNaAAAyHoe.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:27.343295+00:00"
"twitter","11","twitter/HRylf3abQAAT9Jd.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:34.264682+00:00"
"twitter","12","twitter/HRylc2EbcAA9Q0z.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:40.511653+00:00"
"twitter","13","twitter/HRylY0kb0AAC52B.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:54.211888+00:00"
"twitter","14","twitter/HRylVybbkAAVHXB.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:16:59.523190+00:00"
"twitter","15","twitter/HRylTDib0AAm6KV.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:17:04.668794+00:00"
"twitter","16","twitter/HRylP1YbAAAE2jT.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:17:10.681486+00:00"
