platform,trial,cover_name,payload_size_bytes,success,ber,failure_reason,timestamp
instagram,29,instagram/811373961_17971876641136343_4313442639542815294_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:15:37.791764+00:00
instagram,30,instagram/811267001_17971876587136343_9219845889656186332_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:15:45.010022+00:00
instagram,31,instagram/811267012_17971876443136343_462910271305259259_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:15:51.728309+00:00
instagram,32,instagram/811864883_17971876419136343_1686591295595168853_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:15:57.884153+00:00
instagram,33,instagram/811616662_17971876392136343_290738271581215084_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:03.509217+00:00
instagram,34,instagram/811437656_17971876350136343_5002703847015175211_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:10.208512+00:00
instagram,35,instagram/811266999_17971876179136343_5933032144926883087_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:14.388770+00:00
instagram,36,instagram/811266984_17971876122136343_2361932684754194891_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:18.591602+00:00
instagram,37,instagram/811203228_17971876053136343_2224135332122719202_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:23.096657+00:00
instagram,38,instagram/811266957_17971876017136343_6368180465918423643_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:27.174500+00:00
instagram,39,instagram/811711054_17971875978136343_8502147139606074807_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:34.834923+00:00
instagram,40,instagram/811616511_17971875648136343_5024665215446974597_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:39.209664+00:00
instagram,41,instagram/811373918_17971875354136343_6687492423437490362_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:44.873836+00:00
instagram,42,instagram/811616521_17971875294136343_5896452003808531812_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:50.238198+00:00
instagram,43,instagram/811616660_17971874838136343_2120345678897765774_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:16:57.819084+00:00
instagram,44,instagram/811137843_17971874781136343_8122804405801691741_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:17:01.953853+00:00
instagram,45,instagram/811830386_17971874754136343_7108310294687396674_n.jpg,100,False,1.00000000,DCT sync header missing; aggressive lossy JPEG transcode & spatial downsampling,2026-09-15T08:17:06.516799+00:00
